"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.10.2025","3.888,90","3.890,62","3.922,67","3.880,80","277,96K","-0,05%"
"30.09.2025","3.890,72","3.863,10","3.899,20","3.820,60","6,67K","0,92%"
"29.09.2025","3.855,20","3.788,80","3.863,70","3.785,50","258,15K","1,56%"
"28.09.2025","3.795,85","3.790,60","3.801,60","3.790,55","8,09K","0,05%"
"26.09.2025","3.793,90","3.762,90","3.798,70","3.752,10","1,81K","1,00%"
"25.09.2025","3.756,50","3.758,00","3.775,90","3.739,00","1,35K","0,08%"
"24.09.2025","3.753,40","3.784,30","3.798,50","3.735,70","1,49K","-1,27%"
"23.09.2025","3.801,80","3.767,30","3.808,00","3.759,30","2,29K","1,07%"
"22.09.2025","3.761,60","3.707,50","3.769,00","3.705,00","1,08K","1,51%"
"19.09.2025","3.705,80","3.677,70","3.719,60","3.664,40","186,95K","0,75%"
"18.09.2025","3.678,30","3.692,50","3.707,30","3.660,50","224,13K","-1,06%"
"17.09.2025","3.717,80","3.727,30","3.744,00","3.679,50","256,05K","-0,20%"
"16.09.2025","3.725,10","3.720,30","3.739,90","3.711,80","192,30K","0,16%"
"15.09.2025","3.719,00","3.680,20","3.724,90","3.662,80","189,45K","0,88%"
"12.09.2025","3.686,40","3.672,80","3.695,50","3.667,30","154,56K","0,35%"
"11.09.2025","3.673,60","3.680,60","3.687,50","3.651,00","214,61K","-0,23%"
"10.09.2025","3.682,00","3.662,00","3.697,50","3.651,40","182,03K","-0,01%"
"09.09.2025","3.682,20","3.676,60","3.715,20","3.663,70","262,66K","0,13%"
"08.09.2025","3.677,40","3.635,00","3.685,70","3.621,70","227,64K","0,66%"
"05.09.2025","3.653,30","3.602,00","3.655,50","3.595,40","237,65K","1,29%"
"04.09.2025","3.606,70","3.619,80","3.621,60","3.573,70","232,58K","-0,79%"
"03.09.2025","3.635,50","3.600,00","3.640,10","3.592,40","220,79K","1,21%"
"02.09.2025","3.592,20","3.517,90","3.602,40","3.506,00","374,14K","1,14%"
"01.09.2025","3.551,82","3.511,17","3.556,87","3.506,05","127,09K","1,13%"
"31.08.2025","3.512,00","3.517,65","3.517,65","3.509,70","","-0,12%"
