"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.10.2025","6.711,20","6.664,92","6.718,48","6.656,20","","0,34%"
"30.09.2025","6.688,46","6.656,19","6.691,25","6.641,00","","0,41%"
"29.09.2025","6.661,21","6.661,58","6.677,31","6.644,49","","0,26%"
"26.09.2025","6.643,70","6.615,38","6.648,97","6.604,43","","0,59%"
"25.09.2025","6.604,72","6.608,19","6.619,00","6.569,22","","-0,50%"
"24.09.2025","6.637,97","6.669,79","6.672,66","6.621,76","","-0,28%"
"23.09.2025","6.656,92","6.692,44","6.699,52","6.645,58","","-0,55%"
"22.09.2025","6.693,75","6.654,28","6.698,88","6.648,07","","0,44%"
"19.09.2025","6.664,36","6.647,11","6.671,82","6.630,31","","0,49%"
"18.09.2025","6.631,96","6.626,85","6.656,80","6.611,89","","0,48%"
"17.09.2025","6.600,35","6.604,87","6.624,39","6.551,15","","-0,10%"
"16.09.2025","6.606,76","6.624,13","6.626,99","6.600,11","","-0,13%"
"15.09.2025","6.615,28","6.603,49","6.619,62","6.602,07","","0,47%"
"12.09.2025","6.584,29","6.590,66","6.600,21","6.579,49","","-0,05%"
"11.09.2025","6.587,47","6.554,41","6.592,89","6.545,80","","0,85%"
"10.09.2025","6.532,04","6.550,29","6.555,97","6.516,34","","0,30%"
"09.09.2025","6.512,61","6.503,33","6.518,23","6.483,08","","0,27%"
"08.09.2025","6.495,15","6.498,09","6.508,67","6.483,29","","0,21%"
"05.09.2025","6.481,50","6.529,08","6.532,65","6.443,98","","-0,32%"
"04.09.2025","6.502,08","6.456,60","6.502,54","6.445,98","","0,83%"
"03.09.2025","6.448,26","6.445,82","6.453,67","6.416,17","","0,51%"
"02.09.2025","6.415,54","6.401,51","6.416,54","6.360,58","","-0,69%"
