"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.10.2025","5,3309","5,3226","5,3346","5,2925","","0,15%"
"30.09.2025","5,3229","5,3216","5,3345","5,3042","","0,02%"
"29.09.2025","5,3221","5,3448","5,3469","5,3044","","-0,39%"
"26.09.2025","5,3431","5,3637","5,3675","5,3354","","-0,39%"
"25.09.2025","5,3639","5,3327","5,3713","5,3088","","0,58%"
"24.09.2025","5,3330","5,2825","5,3340","5,2768","","0,95%"
"23.09.2025","5,2829","5,3355","5,3467","5,2767","","-0,98%"
"22.09.2025","5,3353","5,3241","5,3666","5,3202","","0,22%"
"19.09.2025","5,3238","5,3126","5,3398","5,3043","","0,19%"
"18.09.2025","5,3138","5,3058","5,3195","5,2695","","0,15%"
"17.09.2025","5,3059","5,2968","5,3137","5,2753","","0,16%"
"16.09.2025","5,2972","5,3173","5,3224","5,2913","","-0,37%"
"15.09.2025","5,3168","5,3520","5,3581","5,3087","","-0,71%"
"12.09.2025","5,3549","5,3896","5,4050","5,3439","","-0,66%"
"11.09.2025","5,3903","5,4080","5,4241","5,3736","","-0,34%"
"10.09.2025","5,4087","5,4392","5,4409","5,3987","","-0,57%"
"09.09.2025","5,4398","5,4196","5,4435","5,4135","","0,37%"
"08.09.2025","5,4196","5,4130","5,4487","5,4003","","0,11%"
"05.09.2025","5,4134","5,4473","5,4499","5,3820","","-0,60%"
"04.09.2025","5,4462","5,4519","5,4723","5,4415","","-0,10%"
"03.09.2025","5,4516","5,4649","5,4720","5,4340","","-0,25%"
"02.09.2025","5,4650","5,4399","5,5017","5,4383","","0,45%"
"01.09.2025","5,4403","5,4237","5,4499","5,4150","","0,18%"
